white;black;event;year;heatmap
Miles, Anthony J;Panno, Oscar;Hoogovens;1978;0.17,0.01,0.27,0.23,0.45,0.05,1.0,0.2,0.15,0.15,0.07,0.37,0.06,0.16,0.15,0.03,0.01,0.0,0.12,0.08,0.05,0.08,0.14,0.0,-0.06,0.0,0.01,-0.04,0.13,0.01,-0.03,0.09,-0.04,-0.04,0.04,-0.01,-0.08,-0.0,0.0,-0.03,0.01,-0.22,-0.05,-0.02,0.0,-0.04,-0.04,0.04,-0.21,-0.17,-0.19,-0.01,-0.1,-0.12,-0.7,-0.0,-0.31,-0.1,-0.16,-0.5,-0.37,-0.09,-0.44,-0.1
Kasparov, Gary;Ravia, Mosi;Israel sim;1994;0.18,0.03,0.16,0.36,0.25,0.21,1.0,0.08,0.1,0.1,0.15,0.18,0.03,0.1,0.19,0.1,0.0,0.06,0.01,0.0,0.0,0.04,0.07,0.0,0.0,-0.03,0.05,0.04,0.02,0.1,0.0,0.0,0.0,-0.05,0.0,0.0,-0.01,0.0,0.0,0.0,-0.08,-0.05,-0.03,-0.08,-0.08,-0.1,0.0,0.0,-0.03,-0.13,-0.02,-0.14,-0.0,-0.1,-0.22,-0.1,-0.19,-0.17,-0.07,-0.48,-0.39,-0.14,-0.88,-0.06
Panno, Oscar;Filip, Miroslav;Portoroz Interzonal;1958;0.18,0.01,0.16,0.36,0.76,0.19,0.44,0.15,0.1,0.09,0.05,0.01,0.05,0.1,0.07,0.05,0.25,0.01,0.05,0.0,0.08,0.14,0.0,0.0,0.1,-0.05,0.05,0.03,0.02,0.0,-0.01,-0.08,0.0,0.01,0.14,-0.04,-0.04,0.0,0.01,-0.01,-0.05,-0.04,0.0,-0.04,-0.14,-0.07,-0.01,-0.08,-0.05,-0.02,-0.04,-0.04,-0.34,-0.1,-0.1,-0.02,-0.29,-0.13,-0.06,-0.33,-0.23,-0.14,-1.0,-0.08
Kasparov, Gary;Gavrikov, Viktor;URS-ch49;1981;0.23,0.1,0.29,0.56,0.24,0.27,1.0,0.11,0.11,0.11,0.1,0.02,0.11,0.11,0.17,0.11,0.0,0.21,0.02,0.0,0.0,0.14,0.1,0.0,0.0,0.0,0.03,-0.05,0.09,0.15,0.0,0.0,-0.05,-0.06,-0.07,0.03,-0.13,-0.03,0.02,0.01,-0.02,-0.08,0.1,-0.03,-0.01,-0.07,0.03,0.08,-0.11,-0.05,-0.05,-0.0,-0.22,-0.1,-0.08,-0.06,-0.25,-0.35,-0.33,-0.93,-0.36,-0.33,-0.69,-0.15
Vachier Lagrave,M;Van Foreest,Jorden;83rd Tata Steel Masters;2021;0.42,0.22,0.11,0.47,0.27,0.48,0.98,0.1,0.23,0.19,0.02,0.03,0.0,0.15,0.14,0.23,-0.01,0.13,0.16,0.0,0.0,0.2,0.14,0.06,0.09,0.0,0.0,0.03,-0.04,0.01,0.06,0.02,0.0,0.01,-0.13,-0.09,-0.02,0.0,0.01,-0.14,-0.17,0.0,-0.06,-0.01,0.02,-0.27,0.0,-0.17,-0.15,-0.07,-0.13,-0.15,-0.04,-0.2,-0.23,-0.06,-0.36,-0.03,-0.2,-0.45,-0.21,-0.26,-1.0,-0.13
Yudasin, Leonid;Polgar, Judit;Groningen PCA;1993;0.23,1.0,0.72,0.54,0.77,0.11,-0.0,0.27,0.14,0.46,0.2,0.04,0.06,0.02,0.05,0.22,0.0,0.21,0.19,0.45,0.18,0.07,0.0,0.0,0.03,-0.02,-0.01,0.05,-0.09,-0.01,-0.0,-0.07,0.17,0.04,0.04,0.04,-0.11,-0.56,0.03,0.0,0.14,0.07,-0.1,-0.21,-0.09,-0.29,0.0,-0.14,-0.01,-0.14,-0.48,-0.3,-0.03,-0.15,-0.21,-0.07,-0.28,-0.45,-0.38,-0.33,-0.73,-0.34,-0.21,-0.6
Karpov, Anatoly;Kasparov, Gary;Linares;1993;0.16,0.17,0.07,0.6,1.0,0.31,0.24,0.51,0.02,0.04,0.04,0.17,0.18,0.01,0.1,0.06,0.0,0.06,0.13,0.0,0.11,0.03,0.0,0.01,0.0,-0.05,0.03,0.17,-0.02,0.05,-0.04,0.03,0.0,-0.01,-0.04,0.0,-0.04,0.0,0.0,0.0,-0.01,0.0,-0.04,0.1,0.0,-0.14,-0.09,0.0,-0.03,-0.04,-0.03,-0.17,-0.02,-0.1,-0.15,-0.1,-0.32,-0.09,-0.31,-0.86,-0.2,-0.42,-0.93,-0.09
Silva, Carlos;Panno, Oscar;Mar del Plata zt;1969;0.15,0.04,0.1,0.36,0.18,0.2,0.36,0.04,0.03,0.02,0.02,0.01,0.11,0.1,0.48,0.16,0.04,0.09,-0.01,0.02,0.01,0.46,0.06,0.42,0.0,-0.01,0.01,0.1,0.1,0.03,0.01,0.05,-0.06,0.0,0.08,-0.07,0.1,-0.08,0.01,-0.03,0.0,0.0,-0.09,0.02,-0.26,-0.13,-0.09,-0.01,-0.05,-0.11,-0.04,-0.01,-0.06,-0.27,-0.3,-0.07,-0.44,-0.04,-0.2,-0.34,-0.15,-0.14,-1.0,-0.08
Fischer, Robert James;Foguelman, Alberto;Buenos Aires;1960;0.69,0.04,0.2,0.64,0.57,0.18,0.15,1.0,0.11,0.16,0.48,-0.02,-0.1,0.0,0.1,0.07,0.09,0.0,0.97,0.12,0.04,-0.02,0.16,0.01,0.0,-0.03,-0.03,0.0,0.33,0.06,-0.13,0.13,-0.05,-0.36,-0.14,-0.08,-0.07,0.16,0.0,0.0,-0.06,-0.74,-0.12,-0.46,0.12,-0.12,0.01,0.0,-0.15,-0.08,-0.64,-0.04,0.06,0.1,0.08,-0.1,-0.34,-0.19,-0.43,-0.49,-0.84,-0.27,-0.09,-0.58
Polgar,Ju;Aronian,L;World Blitz;2009;0.21,0.31,0.12,0.51,0.11,0.48,1.0,0.05,0.11,0.05,0.11,-0.01,0.06,0.14,0.14,0.14,0.0,0.05,0.03,0.0,0.01,0.14,0.0,0.0,0.03,0.07,-0.01,0.01,0.13,0.0,0.0,0.0,0.06,-0.09,0.14,0.03,-0.1,-0.04,0.0,-0.03,-0.1,0.0,-0.06,-0.08,0.0,0.0,-0.12,-0.12,-0.02,-0.07,-0.06,-0.22,-0.15,-0.05,-0.2,-0.59,-0.41,-0.01,-0.17,-0.48,-0.29,-0.21,-0.44,-0.13
Panno, Oscar;Giardelli, Sergio C;Acasusso op;1991;0.7,0.31,0.19,0.89,0.59,0.39,1.0,0.26,0.18,0.24,0.02,0.18,0.42,0.18,0.28,0.18,0.0,0.09,0.04,0.0,0.07,0.34,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.04,0.0,0.0,0.0,0.0,0.0,-0.13,-0.09,0.0,-0.1,-0.29,0.0,0.0,-0.18,-0.28,-0.19,-0.12,-0.25,-0.18,-0.18,-0.18,-0.7,-0.26,-0.12,-0.88,-0.92,-0.47,-0.72,-0.41
Polgar, Judit;Adams, Michael;Linares 14th;1997;0.6,0.12,0.25,0.7,0.35,0.51,1.0,0.11,0.03,0.12,0.05,0.33,0.04,0.09,0.12,0.12,0.0,0.13,0.04,0.11,0.0,0.14,0.15,0.0,0.12,-0.07,0.14,0.06,0.06,-0.11,0.0,-0.4,-0.01,-0.01,-0.1,-0.07,0.04,0.0,0.0,0.0,-0.11,0.0,-0.1,-0.06,-0.02,-0.19,0.0,-0.06,-0.01,-0.28,-0.12,-0.06,-0.0,-0.12,-0.12,-0.12,-0.6,-0.03,-0.1,-0.67,-0.53,-0.25,-0.96,-0.19
Kasparov, Gary;Smejkal, Jan;Dubai ol (Men);1986;0.27,0.11,0.18,0.53,0.35,0.06,1.0,0.07,0.06,0.15,0.25,0.3,0.0,0.22,0.22,0.05,0.0,0.26,0.15,0.0,0.3,0.37,0.09,0.18,-0.09,0.07,0.01,0.03,0.22,0.0,0.0,0.0,0.0,-0.15,-0.01,0.04,-0.22,0.01,0.22,-0.03,-0.15,-0.09,-0.23,-0.18,-0.02,-0.29,-0.12,0.1,-0.02,-0.18,-0.19,-0.37,-0.32,-0.22,-0.2,-0.19,-0.31,-0.03,-0.21,-0.39,-0.5,-0.15,-0.82,-0.13
Kasparov, Gary;Scherrer, B.;Zuerich sim;1988;0.49,0.05,0.11,0.35,1.0,0.14,0.03,0.31,0.03,0.09,0.01,0.2,0.02,0.12,0.12,0.04,0.0,-0.01,0.17,0.09,0.0,0.08,0.0,0.08,0.0,0.01,0.0,0.12,0.04,0.14,-0.03,0.0,0.03,0.01,0.01,0.16,0.01,0.0,0.0,0.0,0.0,-0.03,-0.06,0.03,-0.03,-0.03,-0.05,0.0,-0.12,-0.12,-0.07,-0.04,0.02,-0.12,-0.08,-0.12,-0.49,-0.14,-0.08,-0.37,-0.87,-0.28,-0.62,-0.29
Panno, Oscar;Karpov, Anatoly;Mar del Plata;1982;0.3,0.03,0.15,0.47,0.38,0.42,0.62,0.11,0.07,0.19,0.0,0.22,0.24,0.24,0.42,0.18,0.18,0.09,0.07,0.29,0.0,0.33,0.22,0.0,0.06,0.17,0.01,-0.17,-0.09,0.05,0.0,0.07,0.11,-0.04,-0.11,-0.08,-0.06,-0.06,0.0,-0.01,-0.16,-0.14,-0.25,0.0,-0.27,-0.11,0.0,-0.11,-0.11,-0.21,-0.01,-0.17,-0.06,-0.24,-0.24,-0.14,-0.29,-0.05,-0.38,-0.45,-0.35,-0.17,-1.0,-0.14
Polgar,Ju;Mamedov,Rau;Turkish Bank Chess League 2012;2012;0.53,0.01,0.4,0.62,0.28,0.3,1.0,0.17,0.07,0.16,0.2,0.14,0.17,0.3,0.51,0.32,0.0,0.01,0.15,0.02,0.2,0.03,0.26,0.22,0.02,-0.07,0.0,0.41,0.14,0.2,0.0,0.0,0.0,-0.02,-0.02,0.07,-0.05,0.0,0.02,-0.11,-0.02,0.0,-0.27,-0.15,-0.13,-0.21,-0.26,-0.14,-0.08,-0.26,-0.28,-0.12,-0.14,-0.3,-0.77,-0.55,-0.36,-0.41,-0.26,-0.63,-0.26,-0.47,-0.4,-0.14
Shamkovich, Leonid;Kasparov, Gary;Malta ol (Men);1980;0.44,0.01,0.1,0.53,0.55,0.36,0.54,0.26,0.14,0.29,0.11,0.52,0.19,0.49,0.37,0.15,0.34,0.0,0.13,0.21,0.46,0.44,0.23,0.0,-0.1,0.04,-0.19,0.24,0.12,-0.04,0.0,0.0,-0.04,-0.06,-0.09,-0.22,0.07,-0.11,-0.16,-0.2,-0.01,-0.26,-0.07,0.0,-0.39,-0.45,-0.07,0.0,-0.36,-0.2,-0.01,-0.1,-0.07,-0.22,-0.64,-0.17,-0.31,-0.2,-0.29,-0.62,-0.3,-0.32,-1.0,-0.16
Kasparov,G;So,W;Ultimate Blitz Challenge;2016;0.35,0.08,0.12,0.57,0.21,0.34,0.98,0.09,0.04,0.01,0.21,0.05,0.05,0.31,0.21,0.15,0.11,0.06,0.0,0.07,0.01,0.16,0.14,0.0,0.0,-0.01,0.09,-0.04,0.0,0.05,0.0,0.0,0.0,0.0,-0.11,0.01,0.01,-0.03,0.03,-0.0,-0.06,-0.08,-0.02,-0.06,-0.02,-0.15,-0.03,-0.06,-0.15,-0.11,-0.17,-0.06,-0.08,-0.15,-0.18,-0.08,-0.44,-0.04,-0.2,-0.43,-0.52,-0.09,-1.0,-0.14
Illescas Cordoba, Miguel;Polgar, Judit;Dos Hermanas;1996;0.9,0.25,0.36,1.0,0.57,0.3,0.38,0.34,0.09,0.3,0.06,0.01,0.34,0.3,0.95,0.14,0.21,0.26,0.35,0.0,0.02,-0.02,0.27,0.16,0.0,-0.07,0.03,0.2,0.13,0.2,-0.02,0.0,0.0,0.0,0.0,0.18,-0.33,0.0,0.04,0.0,-0.15,-0.09,-0.03,0.0,-0.01,-0.09,-0.28,0.0,-0.3,-0.38,-0.13,-0.04,-0.24,-0.3,-0.52,-0.3,-0.68,-0.54,-0.65,-0.7,-0.94,-0.26,-0.92,-0.36
Shirov, Alexei;Kasparov, Gary;Linares;1993;0.21,0.02,0.16,0.63,0.35,0.22,0.32,0.07,0.05,0.12,0.0,-0.09,0.02,0.04,0.31,0.37,0.09,0.07,0.11,-0.01,0.0,0.28,0.3,0.06,0.08,0.0,0.05,-0.04,0.11,0.08,0.13,0.0,-0.07,0.0,-0.11,-0.09,-0.07,-0.02,0.01,0.0,-0.02,-0.26,-0.1,-0.01,-0.09,-0.24,-0.12,0.0,-0.05,-0.06,-0.09,-0.05,-0.22,-0.18,-0.26,-0.04,-0.27,0.04,-0.13,-0.22,-0.16,-0.24,-1.0,-0.04
Panno, Oscar;Rubinetti, Jorge A;Rio Hondo;1987;0.18,-0.02,0.28,0.31,0.25,0.13,0.66,0.12,-0.05,0.09,0.38,0.09,0.61,0.2,0.26,0.11,0.0,0.05,0.24,0.14,0.3,0.3,0.32,0.05,-0.02,-0.01,0.13,0.32,0.07,0.06,-0.06,0.1,-0.01,0.0,0.06,-0.08,-0.17,0.08,0.01,-0.12,0.01,-0.19,-0.04,-0.02,0.07,-0.33,0.0,-0.68,-0.07,-0.12,0.06,-0.09,-0.12,-0.15,-0.06,-1.0,-0.23,-0.29,-0.15,-0.35,-0.18,-0.22,-0.83,-0.07
Grischuk,A;Polgar,Ju;FIDE GP;2002;0.12,0.19,0.09,0.43,0.22,0.1,1.0,0.16,0.04,0.04,0.07,0.01,0.09,0.06,0.11,0.11,0.0,0.02,0.1,0.02,0.07,0.05,0.0,0.0,0.02,0.06,0.03,0.33,0.03,0.02,0.0,0.05,0.06,-0.03,0.05,-0.08,-0.03,0.0,-0.04,0.0,-0.09,0.0,-0.08,-0.02,-0.05,-0.12,0.0,0.02,-0.02,-0.11,-0.21,-0.05,-0.21,-0.11,-0.05,-0.02,-0.14,-0.18,-0.31,-0.36,-0.3,-0.42,-0.59,-0.07
Adams,Mi;Kasparov,G;Bosna SuperGM;2000;0.44,0.54,0.4,0.81,0.66,0.12,0.02,0.78,0.67,0.41,0.21,0.33,0.2,0.11,0.18,0.06,0.0,0.13,0.28,0.0,0.07,0.31,0.29,0.0,0.09,-0.16,-0.16,0.23,-0.01,-0.04,-0.05,0.12,0.0,0.01,-0.38,0.1,-0.06,0.02,-0.05,-0.1,-0.11,-0.19,0.0,-0.22,-0.02,-0.67,-0.06,0.0,-0.02,-0.24,-0.62,-0.18,-0.27,-0.08,-0.18,-0.06,-0.31,-0.17,-0.58,-0.3,-1.0,-0.29,-0.64,-0.45
Fischer, Robert James;Weinstein, Raymond Allen;USA-ch;1963;0.35,0.17,0.29,0.56,0.38,0.16,1.0,0.08,0.1,0.09,0.2,0.15,0.0,0.22,0.22,0.05,0.09,0.16,-0.05,0.14,0.02,0.32,0.0,0.17,0.04,0.09,0.01,0.01,0.22,0.0,0.0,0.0,-0.07,-0.16,-0.05,0.14,-0.21,0.0,0.06,-0.02,-0.01,-0.02,-0.09,-0.12,0.0,-0.12,-0.14,0.0,0.15,-0.25,-0.19,-0.24,-0.26,-0.22,-0.09,-0.22,-0.34,-0.25,-0.32,-0.47,-0.32,-0.32,-0.92,-0.15
Kasparov, Gary;Ivanchuk, Vassily;Linares16th;1999;0.33,0.07,0.23,0.35,0.37,0.1,1.0,0.08,0.03,0.05,0.13,0.08,0.13,0.07,0.1,0.1,0.01,0.1,0.12,0.23,0.09,0.18,0.0,0.0,0.13,-0.08,-0.02,0.14,0.0,0.0,0.0,0.0,-0.08,0.04,-0.01,-0.05,0.0,0.0,0.08,0.0,-0.03,0.02,-0.02,-0.06,-0.03,-0.21,-0.04,0.0,-0.01,-0.15,-0.04,-0.02,-0.15,-0.1,-0.06,-0.1,-0.28,-0.1,-0.24,-0.73,-0.55,-0.17,-0.89,-0.15
Polgar, Judit;Piket, Jeroen;Aruba m2;1995;0.47,0.24,0.3,0.73,0.61,0.16,1.0,0.07,0.13,0.09,0.2,0.16,0.12,0.29,0.13,0.04,0.02,0.05,0.07,0.0,0.03,0.26,-0.01,0.09,0.08,-0.0,0.0,0.2,0.05,-0.01,0.0,0.0,-0.02,-0.04,-0.04,-0.04,-0.05,0.0,0.0,-0.02,-0.12,0.08,-0.12,-0.08,-0.08,-0.3,-0.06,-0.09,-0.01,-0.09,-0.09,-0.02,-0.14,-0.13,-0.41,-0.04,-0.58,-0.02,-0.31,-0.75,-0.75,-0.26,-0.88,-0.13
Kasparov, Gary;Kamsky, Gata;Tilburg;1991;0.36,0.13,0.06,0.49,0.27,0.45,0.05,1.0,0.14,0.14,0.22,0.19,0.02,0.24,0.23,0.25,0.0,0.11,0.03,0.06,0.12,0.2,0.05,0.0,0.1,-0.01,0.27,0.2,0.16,0.03,0.13,0.0,-0.04,0.0,-0.05,0.16,-0.04,-0.05,-0.02,0.1,-0.11,-0.16,-0.12,-0.13,0.0,-0.29,-0.14,-0.19,-0.14,-0.25,-0.1,-0.08,-0.41,-0.25,-0.26,-0.15,-0.41,-0.02,-0.27,-0.6,-0.39,-0.64,-0.47,-0.13
Timman, Jan H;Kasparov, Gary;URS-World;1984;0.24,0.24,0.17,0.3,0.51,0.2,0.77,0.17,0.09,0.05,0.51,0.07,0.06,0.1,0.1,0.08,0.0,0.04,0.1,0.11,0.08,0.09,0.0,0.02,0.02,0.05,0.02,0.1,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,-0.09,0.0,0.02,-0.12,-0.05,-0.02,0.0,-0.07,-0.08,-0.02,-0.1,-0.03,0.0,-0.08,-0.1,-0.04,-0.08,-0.13,-0.1,-0.07,-0.1,-0.36,-0.06,-0.17,-0.61,-0.53,-0.18,-1.0,-0.09
Juarez, Alberto;Panno, Oscar;Siembra Villa Ballester op;1996;0.18,1.0,0.2,0.52,0.54,0.04,0.01,0.32,0.15,0.17,0.17,0.64,0.11,0.06,0.17,0.09,0.01,0.11,0.1,0.17,0.05,0.02,0.07,0.0,0.03,0.0,0.0,0.06,0.05,0.06,0.01,0.0,-0.09,0.0,0.02,-0.07,0.0,0.09,-0.08,0.0,-0.15,-0.14,-0.15,-0.08,-0.12,0.0,-0.04,-0.12,-0.42,-0.17,-0.0,-0.04,-0.13,-0.11,-0.17,-0.04,-0.27,-0.14,-0.86,-0.57,-0.66,-0.19,-0.07,-0.38
Sion Castro, Marcelino;Polgar, Judit;Salamanca;1989;0.4,0.15,0.11,0.82,1.0,0.07,0.03,0.44,0.09,0.09,0.07,0.01,0.0,0.09,0.13,0.09,0.0,0.0,0.07,0.0,0.0,0.02,0.06,-0.01,0.0,0.0,0.0,0.02,0.05,0.01,0.01,0.0,0.0,0.04,-0.01,0.11,-0.06,-0.02,0.02,0.0,-0.05,0.11,-0.14,-0.05,-0.05,-0.08,0.0,0.0,-0.2,-0.09,-0.01,-0.04,-0.13,-0.17,-0.05,-0.09,-0.29,-0.61,-0.2,-0.22,-0.93,-0.15,-0.06,-0.43
Valiente,C;Panno,O;Itau Cup 450th Ann;2004;0.34,0.08,0.16,0.48,0.47,0.36,0.92,0.14,0.11,0.12,0.11,0.08,0.37,0.07,0.06,0.11,0.0,0.0,0.05,0.1,0.0,0.18,0.09,0.0,0.0,0.0,0.03,0.0,0.04,0.0,-0.01,0.03,0.0,0.0,-0.1,-0.11,-0.08,0.0,0.0,-0.02,0.0,0.0,-0.17,-0.03,-0.25,-0.08,0.0,0.0,-0.11,-0.11,-0.01,-0.04,-0.17,-0.09,-0.11,-0.04,-0.33,-0.03,-0.41,-0.67,-1.0,-0.06,-0.02,-0.44
Vaganian, Rafael A;Kasparov, Gary;URS-ch47;1979;0.21,0.02,0.08,0.35,0.54,0.47,1.0,0.06,0.01,0.05,0.08,0.12,0.07,0.07,0.11,0.13,0.0,0.0,0.31,0.31,0.1,0.06,0.02,0.0,0.04,0.05,-0.06,0.09,0.04,0.03,-0.05,0.0,0.04,-0.07,0.02,0.0,-0.09,-0.01,0.04,0.04,-0.01,0.08,-0.06,-0.04,-0.05,-0.26,-0.29,-0.11,-0.05,-0.28,0.04,0.08,-0.32,-0.13,-0.09,-0.34,-0.33,-0.02,-0.14,-0.41,-0.6,-0.37,-0.35,-0.35
Polgar,Ju;Schmidt,Wl;Polish Supercup;2002;0.36,0.45,0.34,0.58,1.0,0.21,0.14,0.53,0.03,0.04,0.21,0.01,0.26,0.95,0.13,0.21,0.21,0.0,-0.06,0.39,0.0,0.0,0.04,0.0,0.05,0.03,0.0,-0.08,0.24,0.13,0.13,-0.16,-0.09,0.0,-0.04,-0.13,0.18,-0.04,0.0,0.0,-0.04,0.0,-0.24,0.0,-0.13,0.04,0.0,0.0,-0.16,-0.21,-0.8,-0.16,-0.21,-0.14,-0.04,0.11,-0.85,-0.34,-0.51,-0.67,-0.9,-0.04,-0.66,-0.23
Kasparov, Gary;Kortschnoj, Viktor;Candidats sf1;1983;1.0,0.1,0.22,0.75,0.75,0.51,0.77,0.45,0.04,0.14,0.01,-0.0,0.06,0.38,0.72,0.44,0.23,-0.02,0.53,0.15,0.01,0.36,0.15,0.0,0.07,0.16,0.04,0.46,0.07,-0.06,0.0,0.05,-0.17,0.2,-0.19,-0.14,0.01,-0.14,0.19,-0.06,-0.04,-0.34,-0.03,-0.86,-0.47,-0.1,-0.07,-0.05,-0.12,-0.38,-0.39,-0.16,-0.43,-0.3,-0.24,-0.17,-0.84,-0.44,-0.08,-0.49,-0.68,-0.62,-0.65,-0.41
Huzman,A;Kasparov,G;ECC;2003;0.58,0.06,0.1,0.43,0.61,0.36,0.68,0.28,0.12,0.03,0.49,0.18,0.15,0.12,0.12,0.12,0.0,0.05,0.26,0.14,0.09,0.34,0.02,0.0,0.0,-0.01,0.03,0.07,-0.02,0.0,0.0,0.0,0.0,0.0,-0.03,-0.06,0.0,0.13,0.0,0.0,-0.09,-0.02,-0.04,-0.08,-0.04,-0.29,0.0,0.0,-0.03,-0.17,-0.14,-0.18,-0.02,-0.12,-0.12,-0.12,-0.58,-0.13,-0.24,-1.0,-0.46,-0.49,-0.9,-0.19
Kasparov, Gary;Timman, Jan H;Belgrade;1989;0.15,0.18,0.24,0.17,0.29,-0.05,0.65,0.08,0.05,0.14,0.0,0.18,-0.0,0.1,0.21,0.12,0.05,0.01,0.0,0.0,0.1,0.14,0.12,0.12,-0.04,-0.01,0.06,0.09,-0.05,0.01,0.08,0.15,0.04,-0.07,-0.03,-0.06,0.08,0.0,0.0,-0.02,0.0,-0.13,-0.02,0.02,-0.02,-0.1,0.0,-0.07,-0.14,-0.12,0.14,-0.08,-0.32,-0.14,-0.23,-0.05,-0.15,-0.22,-0.22,0.03,-0.33,-0.05,-1.0,-0.06
Panno, Oscar;Bielicki, Carlos;Mar del Plata;1962;0.21,0.17,0.14,0.12,0.09,0.09,0.36,0.42,0.03,0.17,0.02,0.07,0.17,0.21,0.05,0.06,0.16,0.03,0.16,0.06,0.23,0.13,0.3,0.07,0.01,0.05,0.0,0.14,0.03,0.09,0.0,0.05,0.09,-0.08,0.08,-0.08,0.08,-0.05,0.06,-0.04,-0.1,0.2,-0.15,0.08,-0.09,-0.0,-0.01,-0.01,-0.03,-0.11,-0.44,-0.31,-0.1,-0.22,-0.1,-0.06,-0.23,-0.03,-0.3,-0.1,-0.47,-0.12,-0.22,-1.0
Kasparov,G;Morozevich,A;It;2001;0.71,0.17,0.58,1.0,0.88,0.26,0.78,0.53,0.05,0.06,0.02,0.01,0.23,0.42,0.37,0.36,-0.01,-0.06,0.21,0.0,0.08,0.4,0.25,0.0,0.32,-0.13,0.16,0.16,0.21,0.16,0.16,0.21,-0.23,-0.01,-0.4,0.14,0.01,-0.14,0.01,0.0,0.0,-0.27,-0.13,-0.01,-0.45,-0.33,-0.04,0.0,-0.26,-0.29,-0.03,-0.56,-0.1,-0.36,-0.26,-0.1,-0.66,-0.16,-0.13,-0.91,-0.97,-0.6,-0.61,-0.58
Nilssen,J;Kasparov,G;Simul;2001;0.43,0.03,0.14,0.69,0.91,0.1,0.8,0.3,0.05,0.14,0.13,0.08,0.21,0.14,0.14,0.14,0.01,0.29,0.06,0.0,0.12,0.16,0.0,0.0,0.32,-0.15,0.02,0.11,-0.01,0.0,0.01,0.0,-0.09,-0.01,-0.08,-0.02,0.0,0.0,-0.08,0.0,0.0,0.0,-0.08,0.0,-0.12,-0.09,-0.01,0.0,-0.05,-0.2,-0.01,-0.12,-0.36,-0.14,-0.12,-0.14,-0.42,-0.07,-0.14,-0.71,-1.0,-0.24,-0.69,-0.33
Van Wely,L;Kasparov,G;KasparovChess GP g/60;2000;0.12,0.01,0.14,0.17,0.17,0.04,0.53,0.05,0.02,0.05,0.1,0.01,0.01,0.06,0.09,0.07,-0.01,0.01,0.01,0.06,0.02,0.12,0.0,0.28,0.02,-0.01,0.01,0.02,0.07,-0.01,0.08,0.07,0.02,-0.02,-0.01,-0.03,-0.01,0.03,0.06,0.02,-0.06,0.0,-0.01,-0.07,-0.09,-0.05,0.01,0.01,-0.02,-0.01,-0.1,-0.05,-0.01,-0.09,-0.03,-0.03,-0.16,-0.06,-0.09,-0.22,-0.14,-0.13,-1.0,-0.07
Garcia, Raimundo;Panno, Oscar;ARG-ch;1980;0.16,0.42,0.34,0.38,0.35,0.09,1.0,0.02,0.1,0.16,0.03,0.1,0.21,0.14,0.21,0.19,0.02,0.06,0.12,0.09,0.13,0.18,0.29,0.04,-0.1,0.07,-0.14,0.28,-0.11,0.15,0.05,0.03,-0.1,-0.0,-0.13,-0.13,-0.0,0.0,0.01,0.0,-0.03,-0.16,0.01,-0.62,-0.06,-0.23,-0.15,-0.06,-0.07,-0.28,-0.04,-0.03,-0.58,-0.13,-0.15,-0.16,-0.21,-0.05,-0.25,-0.22,-0.18,-0.21,-0.81,-0.08
Van Wely,L;Polgar,Ju;Corus A;2008;0.39,0.03,0.81,0.19,0.84,0.11,0.04,0.41,0.21,0.14,0.13,0.0,-0.07,0.17,0.06,0.28,0.0,0.53,0.53,0.06,0.1,0.16,0.15,0.22,0.0,-0.17,0.2,0.12,-0.02,-0.04,-0.28,0.01,0.0,0.0,-0.08,0.08,-0.08,-0.01,-0.01,0.0,0.0,-0.18,-0.09,0.1,-0.11,-0.08,0.0,-0.01,-0.21,-0.07,-0.03,-0.3,-0.01,-0.14,-0.04,-0.03,-0.42,-0.18,-1.0,-0.77,-0.95,-0.06,-0.01,-0.53
Kasparov, Gary;Karpov, Anatoly;World Championship 33th-KK3;1986;0.17,0.03,0.45,0.81,0.48,0.18,1.0,0.22,0.15,0.1,0.01,0.22,0.43,0.15,0.38,0.12,0.0,0.06,0.16,0.03,0.13,0.26,0.04,0.02,0.0,-0.02,0.13,0.12,0.05,0.01,0.01,0.0,-0.01,-0.06,-0.01,-0.04,-0.03,-0.04,0.01,0.0,-0.09,0.0,0.2,0.05,-0.15,-0.21,0.0,-0.13,-0.28,-0.12,-0.04,-0.13,-0.32,-0.15,-0.55,-0.02,-0.66,-0.26,-0.27,-0.57,-0.35,-0.52,-0.96,-0.16
Gulko, Boris F;Polgar, Judit;Aruba;1992;0.09,0.6,0.07,0.21,0.33,0.03,0.13,0.27,0.11,0.04,0.11,0.17,0.1,0.09,0.04,0.06,-0.01,0.0,0.08,0.21,0.17,0.14,0.01,0.05,-0.1,-0.01,0.05,0.01,0.03,0.03,0.07,0.0,-0.01,0.0,-0.04,0.07,-0.17,-0.1,0.05,-0.02,-0.01,0.0,-0.02,0.03,0.0,-0.23,-0.11,0.0,-0.03,-0.07,-0.03,0.03,0.01,-0.08,-0.22,-0.1,-0.24,-0.03,-0.08,-0.35,-0.24,-0.19,-1.0,-0.06
